,Tm,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%3PA,3P%, ,Att.,#,Season Year
49,Boston Celtics,5,1200,.435,14.9,,.585,.243,.152,.107,.084,.415,,.496,.626,.373,.340,.541,.350,,.469,.703,,.052,21,,.213,.410,,2,0,2021
50,Brooklyn Nets,12,2905,.472,15.2,,.587,.212,.158,.145,.073,.413,,.535,.648,.399,.527,.520,.382,,.480,.706,,.049,43,,.129,.345,,3,0,2021
51,Dallas Mavericks,7,1680,.455,15.1,,.593,.201,.199,.125,.068,.407,,.501,.669,.383,.440,.463,.388,,.469,.642,,.047,24,,.147,.333,,1,0,2021
52,Denver Nuggets,10,2450,.457,14.8,,.582,.243,.167,.087,.086,.418,,.510,.670,.442,.313,.392,.382,,.453,.850,,.042,36,,.205,.481,,3,0,2021
53,Los Angeles Clippers,19,4560,.477,15.6,,.556,.209,.157,.101,.088,.444,,.554,.663,.506,.462,.489,.381,,.379,.810,,.051,70,,.265,.361,,2,0,2021
54,Los Angeles Lakers,6,1440,.414,13.7,,.604,.319,.127,.090,.068,.396,,.488,.623,.444,.289,.206,.299,,.483,.763,,.060,27,,.208,.268,,0,0,2021
55,Memphis Grizzlies,5,1200,.468,12.9,,.665,.201,.316,.119,.030,.335,,.538,.758,.436,.411,.643,.329,,.391,.846,,.047,21,,.165,.269,,2,0,2021
56,Miami Heat,4,985,.395,15.5,,.599,.193,.148,.179,.078,.401,,.435,.594,.321,.391,.357,.336,,.505,.813,,.022,8,,.203,.448,,0,0,2021
57,Milwaukee Bucks,23,5570,.462,14.2,,.616,.251,.165,.132,.068,.384,,.550,.724,.431,.426,.437,.321,,.461,.767,,.056,112,,.231,.403,,4,0,2021
58,New York Knicks,5,1200,.398,13.5,,.648,.289,.134,.130,.095,.352,,.429,.560,.345,.357,.244,.342,,.467,.712,,.032,14,,.250,.368,,0,0,2021
59,Philadelphia 76ers,12,2880,.496,13.4,,.669,.251,.201,.134,.083,.331,,.547,.717,.454,.370,.541,.393,,.481,.881,,.061,56,,.161,.473,,2,0,2021
60,Phoenix Suns,22,5280,.481,14.7,,.650,.202,.169,.167,.113,.350,,.537,.701,.468,.494,.412,.376,,.479,.805,,.043,76,,.239,.436,,5,0,2021
61,Portland Trail Blazers,6,1490,.475,15.7,,.557,.215,.172,.075,.094,.443,,.525,.684,.462,.475,.320,.413,,.484,.639,,.040,17,,.204,.375,,1,0,2021
62,Utah Jazz,11,2640,.472,16.2,,.482,.195,.201,.058,.027,.518,,.536,.707,.430,.389,.400,.413,,.389,.621,,.052,44,,.175,.440,,2,0,2021
63,Washington Wizards,5,1200,.458,12.7,,.727,.233,.239,.131,.124,.273,,.522,.738,.377,.500,.418,.289,,.482,.886,,.059,24,,.223,.296,,1,0,2021
64,Boston Celtics,17,4155,.454,15.2,,.571,.244,.131,.114,.082,.429,,.539,.688,.397,.467,.424,.341,,.501,.768,,.061,74,,.237,.388,,3,0,2020
65,Brooklyn Nets,4,960,.397,17.2,,.496,.156,.126,.145,.068,.504,,.459,.667,.391,.302,.440,.337,,.614,.839,,.030,8,,.315,.310,,3,0,2020
66,Dallas Mavericks,6,1465,.473,15.2,,.579,.204,.172,.120,.084,.421,,.555,.734,.446,.406,.556,.360,,.390,.765,,.036,18,,.231,.442,,1,0,2020
67,Denver Nuggets,19,4585,.471,14.9,,.608,.233,.145,.121,.108,.392,,.530,.667,.421,.484,.432,.379,,.489,.777,,.043,56,,.226,.324,,6,0,2020
68,Houston Rockets,12,2905,.436,16.0,,.455,.233,.161,.038,.022,.545,,.526,.654,.416,.308,.348,.362,,.382,.798,,.025,20,,.326,.432,,1,1,2020
69,Indiana Pacers,4,960,.455,15.0,,.601,.234,.156,.109,.103,.399,,.508,.640,.440,.486,.333,.375,,.541,.771,,.022,6,,.180,.435,,0,0,2020
70,Los Angeles Clippers,13,3145,.474,14.2,,.620,.248,.153,.142,.077,.380,,.539,.655,.465,.494,.395,.368,,.373,.860,,.061,55,,.295,.429,,3,0,2020
71,Los Angeles Lakers,21,5040,.489,14.2,,.593,.294,.133,.078,.088,.407,,.581,.724,.468,.401,.432,.354,,.533,.843,,.082,130,,.361,.398,,4,0,2020
72,Miami Heat,21,5090,.460,15.3,,.567,.214,.166,.124,.064,.433,,.536,.693,.455,.432,.427,.359,,.536,.903,,.050,79,,.218,.350,,5,0,2020
73,Milwaukee Bucks,10,2425,.460,15.2,,.574,.223,.162,.092,.098,.426,,.536,.706,.426,.450,.412,.358,,.496,.827,,.060,51,,.272,.396,,1,0,2020
74,Oklahoma City Thunder,7,1705,.430,15.4,,.572,.239,.154,.085,.094,.428,,.506,.601,.424,.451,.446,.328,,.358,.750,,.035,17,,.219,.339,,3,0,2020
75,Orlando Magic,5,1200,.420,17.0,,.551,.153,.111,.147,.140,.449,,.455,.574,.367,.446,.403,.377,,.514,.827,,.016,6,,.131,.462,,1,0,2020
76,Philadelphia 76ers,4,960,.396,14.8,,.640,.182,.190,.164,.104,.360,,.470,.656,.344,.455,.400,.264,,.426,.844,,.027,8,,.157,.316,,0,0,2020
77,Portland Trail Blazers,5,1200,.426,14.4,,.653,.254,.143,.125,.132,.347,,.451,.598,.365,.400,.310,.379,,.385,.672,,.043,17,,.176,.481,,0,0,2020
78,Toronto Raptors,11,2690,.442,15.5,,.545,.263,.140,.070,.072,.455,,.508,.602,.397,.456,.429,.363,,.520,.826,,.034,32,,.149,.424,,4,1,2020
79,Utah Jazz,7,1705,.487,14.6,,.545,.251,.185,.075,.033,.455,,.542,.688,.387,.558,.263,.421,,.444,.682,,.066,36,,.249,.446,,1,0,2020
80,Boston Celtics,9,2160,.424,15.5,,.608,.226,.137,.114,.131,.392,,.476,.602,.298,.477,.444,.343,,.466,.892,,.038,27,,.205,.426,,4,0,2019
81,Brooklyn Nets,5,1200,.420,13.1,,.628,.330,.151,.112,.035,.372,,.477,.609,.261,.373,.500,.324,,.504,.491,,.063,26,,.094,.313,,1,0,2019
82,Denver Nuggets,14,3460,.442,12.3,,.692,.266,.243,.121,.063,.308,,.486,.625,.381,.444,.380,.344,,.532,.821,,.032,38,,.175,.265,,2,0,2019
83,Detroit Pistons,4,960,.388,13.7,,.656,.258,.176,.132,.090,.344,,.417,.480,.309,.451,.400,.331,,.500,.886,,.067,20,,.286,.316,,1,0,2019
84,Golden State Warriors,22,5330,.477,15.4,,.620,.240,.120,.132,.128,.380,,.541,.745,.408,.412,.417,.372,,.664,.757,,.071,127,,.199,.385,,15,0,2019
85,Houston Rockets,11,2665,.444,16.1,,.490,.216,.184,.064,.026,.510,,.524,.673,.365,.525,.417,.366,,.414,.599,,.052,42,,.200,.415,,5,0,2019
86,Indiana Pacers,4,960,.401,14.1,,.644,.314,.108,.069,.153,.356,,.437,.581,.361,.261,.275,.336,,.574,.725,,.030,10,,.160,.421,,0,0,2019
87,Los Angeles Clippers,6,1440,.447,14.2,,.645,.269,.161,.112,.103,.355,,.493,.660,.337,.417,.382,.363,,.535,.884,,.052,28,,.147,.357,,2,0,2019
88,Milwaukee Bucks,15,3650,.450,14.6,,.569,.306,.124,.085,.054,.431,,.536,.719,.255,.372,.408,.336,,.519,.859,,.051,64,,.207,.347,,2,0,2019
89,Oklahoma City Thunder,5,1200,.440,13.5,,.635,.293,.142,.102,.098,.365,,.502,.571,.410,.500,.429,.331,,.474,.923,,.060,21,,.299,.404,,1,0,2019
90,Orlando Magic,5,1200,.388,15.2,,.581,.224,.149,.104,.104,.419,,.452,.624,.355,.326,.349,.299,,.495,.788,,.053,19,,.241,.405,,0,0,2019
91,Philadelphia 76ers,12,2880,.459,13.2,,.669,.276,.176,.131,.086,.331,,.522,.651,.414,.452,.438,.331,,.525,.920,,.039,37,,.261,.371,,3,0,2019
92,Portland Trail Blazers,16,3965,.436,13.9,,.637,.287,.151,.110,.089,.363,,.479,.599,.317,.415,.450,.360,,.434,.656,,.039,50,,.166,.425,,7,0,2019
93,San Antonio Spurs,7,1680,.463,12.5,,.767,.221,.237,.178,.131,.233,,.501,.652,.489,.368,.449,.338,,.463,.894,,.032,15,,.187,.385,,2,0,2019
94,Toronto Raptors,24,5810,.444,14.9,,.594,.226,.168,.104,.096,.406,,.512,.687,.416,.374,.413,.346,,.502,.808,,.050,87,,.260,.335,,2,0,2019
95,Utah Jazz,5,1200,.400,13.7,,.586,.299,.176,.074,.037,.414,,.498,.674,.263,.438,.313,.263,,.571,.915,,.083,31,,.296,.226,,2,0,2019
96,Boston Celtics,19,4610,.437,13.4,,.633,.289,.154,.099,.091,.367,,.493,.646,.303,.417,.410,.343,,.481,.834,,.057,76,,.198,.435,,2,0,2018
97,Cleveland Cavaliers,22,5330,.450,13.9,,.630,.274,.138,.106,.112,.370,,.520,.726,.365,.356,.363,.331,,.414,.810,,.048,81,,.241,.366,,7,1,2018
98,Golden State Warriors,21,5065,.480,14.6,,.635,.243,.107,.153,.132,.365,,.550,.738,.378,.444,.464,.357,,.596,.732,,.073,122,,.200,.379,,5,0,2018
99,Houston Rockets,17,4080,.436,14.5,,.534,.245,.170,.083,.037,.466,,.522,.679,.366,.483,.283,.337,,.441,.623,,.058,82,,.232,.439,,2,0,2018
100,Indiana Pacers,7,1680,.481,13.1,,.661,.337,.118,.080,.127,.339,,.544,.709,.394,.422,.324,.358,,.475,.765,,.039,19,,.247,.362,,3,0,2018
101,Miami Heat,5,1200,.442,13.2,,.667,.304,.114,.116,.133,.333,,.467,.571,.319,.438,.382,.391,,.535,.926,,.056,19,,.152,.667,,1,0,2018
102,Milwaukee Bucks,7,1705,.500,13.1,,.672,.270,.170,.128,.104,.328,,.563,.750,.419,.457,.439,.372,,.444,.925,,.077,40,,.244,.386,,2,0,2018
103,Minnesota Timberwolves,5,1200,.460,11.2,,.736,.339,.194,.092,.111,.264,,.477,.621,.375,.289,.370,.413,,.490,.911,,.031,13,,.358,.487,,1,0,2018
104,New Orleans Pelicans,9,2160,.478,12.6,,.699,.286,.176,.131,.108,.301,,.526,.714,.451,.330,.379,.366,,.579,.787,,.058,45,,.156,.368,,4,1,2018
105,Oklahoma City Thunder,6,1440,.430,13.5,,.667,.268,.146,.123,.129,.333,,.462,.619,.289,.453,.343,.364,,.350,.667,,.058,29,,.214,.405,,3,0,2018
106,Philadelphia 76ers,10,2425,.437,12.8,,.669,.316,.157,.095,.101,.331,,.486,.621,.345,.357,.404,.338,,.569,.949,,.045,36,,.126,.432,,1,0,2018
107,Portland Trail Blazers,4,960,.453,12.6,,.646,.343,.121,.107,.074,.354,,.519,.672,.364,.308,.370,.333,,.336,.814,,.063,21,,.217,.357,,1,0,2018
108,San Antonio Spurs,5,1200,.413,14.3,,.663,.189,.196,.131,.148,.337,,.471,.747,.378,.418,.290,.298,,.458,.833,,.041,15,,.213,.367,,3,0,2018
109,Toronto Raptors,10,2425,.473,12.1,,.676,.330,.177,.101,.067,.324,,.513,.618,.486,.325,.345,.390,,.470,.808,,.049,35,,.217,.431,,2,0,2018
110,Utah Jazz,11,2640,.455,12.2,,.639,.334,.180,.058,.066,.361,,.509,.666,.335,.302,.383,.359,,.434,.797,,.081,67,,.261,.430,,2,0,2018
111,Washington Wizards,6,1440,.466,12.9,,.744,.252,.159,.157,.176,.256,,.500,.667,.383,.438,.422,.366,,.526,.833,,.057,29,,.176,.478,,3,0,2018
112,Atlanta Hawks,6,1440,.444,12.7,,.677,.335,.138,.097,.107,.323,,.510,.588,.414,.490,.407,.305,,.571,.680,,.055,24,,.165,.333,,0,0,2017
113,Boston Celtics,18,4345,.457,14.4,,.590,.315,.100,.061,.112,.410,,.517,.639,.411,.366,.361,.369,,.606,.895,,.039,49,,.219,.375,,3,0,2017
114,Chicago Bulls,6,1440,.440,12.8,,.715,.303,.172,.105,.135,.285,,.497,.600,.459,.346,.433,.298,,.477,.857,,.016,8,,.291,.220,,1,0,2017
