,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
61,Denver Nuggets,26.3,4,6,.400,3,7,116.8,122.4,-5.6,96.3,.227,.418,.566,,.536,9.9,25.1,.172,,.576,10.6,79.6,.223,2021
62,Los Angeles Lakers,29.1,2,4,.333,2,4,104.0,110.9,-6.9,93.8,.295,.396,.520,,.473,12.9,23.7,.229,,.530,12.1,80.3,.212,2021
63,New York Knicks,27.3,1,4,.200,1,4,103.5,111.0,-7.5,93.7,.252,.352,.505,,.458,11.3,24.6,.206,,.519,10.4,81.2,.189,2021
64,Memphis Grizzlies,24.0,1,4,.200,1,4,115.6,124.0,-8.4,99.5,.216,.335,.556,,.523,9.1,23.8,.172,,.586,12.2,75.4,.257,2021
65,Boston Celtics,25.0,1,4,.200,1,4,117.1,128.7,-11.6,95.8,.311,.415,.560,,.508,11.5,28.8,.256,,.582,10.6,73.5,.296,2021
66,Washington Wizards,27.4,1,4,.200,1,4,107.6,121.3,-13.7,102.2,.327,.273,.543,,.498,11.7,23.1,.246,,.575,10.3,77.4,.234,2021
67,Miami Heat,28.8,0,4,.000,0,4,96.6,116.8,-20.2,98.9,.227,.401,.499,,.462,12.5,17.1,.174,,.538,12.6,68.6,.177,2021
68,Los Angeles Lakers,29.3,16,5,.762,15,6,115.9,108.9,+7.0,97.3,.293,.407,.595,,.561,14.0,26.1,.222,,.525,13.6,81.9,.251,2020
69,Boston Celtics,25.0,10,7,.588,11,6,111.3,106.3,+5.0,96.4,.285,.429,.572,,.527,12.7,21.0,.233,,.490,11.5,80.5,.234,2020
70,Los Angeles Clippers,27.9,7,6,.538,8,5,115.4,111.1,+4.3,98.0,.291,.380,.585,,.544,11.8,21.5,.232,,.542,12.6,80.6,.209,2020
71,Toronto Raptors,27.1,7,4,.636,7,4,108.3,104.2,+4.1,99.1,.240,.455,.559,,.525,11.8,17.6,.187,,.507,13.7,82.2,.211,2020
72,Utah Jazz,26.8,3,4,.429,4,3,122.2,118.5,+3.7,91.5,.284,.455,.616,,.583,11.5,22.8,.220,,.554,11.4,75.1,.169,2020
73,Miami Heat,27.1,14,7,.667,12,9,113.5,111.5,+2.0,95.9,.322,.433,.587,,.537,12.3,19.1,.266,,.529,13.0,77.3,.215,2020
74,Milwaukee Bucks,29.8,5,5,.500,5,5,109.7,108.5,+1.2,100.3,.279,.426,.568,,.537,13.2,20.5,.202,,.527,13.5,83.8,.241,2020
75,Houston Rockets,30.2,5,7,.417,6,6,108.3,107.5,+0.8,98.6,.235,.545,.569,,.535,12.4,14.6,.186,,.534,15.4,78.0,.209,2020
